[2026-04-10 15:25:02] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 09:57:38] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fe:8a3:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 306/734 packets in the last 20 seconds (42% of recent traffic).
[2026-04-11 09:57:39] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b1:c4f:6afd:8a4:a873:e7f:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 302/729 packets in the last 20 seconds (41% of recent traffic).
[2026-04-11 09:57:40] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4003:c03::bc:5228 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 305/732 packets in the last 20 seconds (42% of recent traffic).
[2026-04-11 09:57:41] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c23b:8a3:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 283/687 packets in the last 20 seconds (41% of recent traffic).
[2026-04-11 09:57:42] [WARNING] ANOM-TRAFFIC-SPIKE | 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:61510 | Traffic spike from a single source detected | 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4 generated 230/650 packets in the last 20 seconds (35% of recent traffic).
[2026-04-11 09:57:42] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 271/650 packets in the last 20 seconds (42% of recent traffic).
[2026-04-11 09:57:45] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4007:83e::200e:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 212/517 packets in the last 20 seconds (41% of recent traffic).
[2026-04-11 09:57:51] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> fe80::980a:b1ff:feda:5cbe | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 71/256 packets in the last 20 seconds (28% of recent traffic).
[2026-04-11 09:57:52] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fe:8a3:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 63/229 packets in the last 20 seconds (28% of recent traffic).
[2026-04-11 09:57:52] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 63/230 packets in the last 20 seconds (27% of recent traffic).
[2026-04-11 09:57:52] [WARNING] ANOM-LARGE-PACKET | 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:59101 | Unusually large packet observed | Current packet length 1329 bytes exceeded the recent baseline threshold of 1315.9 bytes.
[2026-04-11 09:57:53] [WARNING] ANOM-TRAFFIC-SPIKE | 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:59102 | Traffic spike from a single source detected | 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4 generated 40/267 packets in the last 20 seconds (15% of recent traffic).
[2026-04-11 09:57:53] [WARNING] ANOM-TRAFFIC-SPIKE | 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:59830 | Traffic spike from a single source detected | 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4 generated 41/268 packets in the last 20 seconds (15% of recent traffic).
[2026-04-11 09:57:53] [WARNING] ANOM-TRAFFIC-SPIKE | 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:59831 | Traffic spike from a single source detected | 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4 generated 65/292 packets in the last 20 seconds (22% of recent traffic).
[2026-04-11 09:57:58] [WARNING] ANOM-TRAFFIC-SPIKE | 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:59101 | Traffic spike from a single source detected | 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4 generated 363/635 packets in the last 20 seconds (57% of recent traffic).
[2026-04-11 09:58:00] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fd:8a4:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 188/717 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 09:58:04] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2401:4900:6581:2e04::58:53 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 246/947 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 09:58:04] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b1:c4f:6afd:8a4:a873:e7f:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 249/950 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 09:58:04] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c23b:8a3:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 259/960 packets in the last 20 seconds (27% of recent traffic).
[2026-04-11 09:58:04] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2001:4860:482b:7700:::443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 263/987 packets in the last 20 seconds (27% of recent traffic).
[2026-04-11 09:58:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 239.255.255.250:1900 | Traffic spike from a single source detected | 10.241.221.36 generated 40/1006 packets in the last 20 seconds (4% of recent traffic).
[2026-04-11 09:58:05] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c23b:8a4:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 267/1019 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 09:58:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 224.0.0.251:5353 | Traffic spike from a single source detected | 10.241.221.36 generated 48/1021 packets in the last 20 seconds (5% of recent traffic).
[2026-04-11 09:58:05] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fe:8a4:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 276/1045 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 09:58:05] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2603:1040:a06:6:::443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 277/1048 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 09:58:06] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 255.255.255.255:48689 | Traffic spike from a single source detected | 10.241.221.36 generated 64/1058 packets in the last 20 seconds (6% of recent traffic).
[2026-04-11 09:58:10] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4007:836::200a:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 278/1067 packets in the last 20 seconds (26% of recent traffic).
[2026-04-11 09:58:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 239.255.255.250:1900 | Traffic spike from a single source detected | 10.241.221.36 generated 69/977 packets in the last 20 seconds (7% of recent traffic).
[2026-04-11 09:58:14] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 224.0.0.251:5353 | Traffic spike from a single source detected | 10.241.221.36 generated 60/894 packets in the last 20 seconds (7% of recent traffic).
[2026-04-11 09:58:14] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2600:1901:0:47fc:::443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 216/891 packets in the last 20 seconds (24% of recent traffic).
[2026-04-11 09:58:18] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 255.255.255.255:48689 | Traffic spike from a single source detected | 10.241.221.36 generated 73/601 packets in the last 20 seconds (12% of recent traffic).
[2026-04-11 09:59:27] [WARNING] ANOM-LARGE-PACKET | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fd:623:5ff2:75c4:443 | Unusually large packet observed | Current packet length 1292 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:59:47] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c2fd:623:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 40/124 packets in the last 20 seconds (32% of recent traffic).
[2026-04-11 09:59:50] [WARNING] ANOM-LARGE-PACKET | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4007:815::2003:443 | Unusually large packet observed | Current packet length 1292 bytes exceeded the recent baseline threshold of 1193.7 bytes.
[2026-04-11 09:59:50] [WARNING] ANOM-LARGE-PACKET | 2404:6800:4007:815::2003 -> 2401:4900:6581:2e04:4437:cc47:7df:71b9:53913 | Unusually large packet observed | Current packet length 1292 bytes exceeded the recent baseline threshold of 1288.7 bytes.
[2026-04-11 09:59:52] [WARNING] ANOM-LARGE-PACKET | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b1:c4f:6afd:8a4:a873:e7f:443 | Unusually large packet observed | Current packet length 1329 bytes exceeded the recent baseline threshold of 1328.2 bytes.
[2026-04-11 09:59:53] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 239.255.255.250:1900 | Traffic spike from a single source detected | 10.241.221.36 generated 40/121 packets in the last 20 seconds (33% of recent traffic).
[2026-04-11 09:59:54] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 255.255.255.255:48689 | Traffic spike from a single source detected | 10.241.221.36 generated 40/142 packets in the last 20 seconds (28% of recent traffic).
[2026-04-11 09:59:56] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 224.0.0.251:5353 | Traffic spike from a single source detected | 10.241.221.36 generated 42/148 packets in the last 20 seconds (28% of recent traffic).
[2026-04-11 10:00:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 255.255.255.255:48689 | Traffic spike from a single source detected | 10.241.221.36 generated 41/206 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 10:00:02] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.128 -> 10.241.221.13:53 | Traffic spike from a single source detected | 10.241.221.128 generated 40/208 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 10:00:03] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 239.255.255.250:1900 | Traffic spike from a single source detected | 10.241.221.36 generated 42/214 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 10:00:08] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2404:6800:4000:101d::5e:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 40/261 packets in the last 20 seconds (15% of recent traffic).
[2026-04-11 10:00:10] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2001:4860:482b:7700:::443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 40/262 packets in the last 20 seconds (15% of recent traffic).
[2026-04-11 10:00:11] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 239.255.255.250:1900 | Traffic spike from a single source detected | 10.241.221.36 generated 52/267 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 10:00:12] [WARNING] ANOM-TRAFFIC-SPIKE | 2401:4900:6581:2e04:4437:cc47:7df:71b9 -> 2606:4700:83b2:7cbc:c23b:8a3:5ff2:75c4:443 | Traffic spike from a single source detected | 2401:4900:6581:2e04:4437:cc47:7df:71b9 generated 41/271 packets in the last 20 seconds (15% of recent traffic).
[2026-04-11 10:00:14] [WARNING] ANOM-TRAFFIC-SPIKE | 10.241.221.36 -> 224.0.0.251:5353 | Traffic spike from a single source detected | 10.241.221.36 generated 50/231 packets in the last 20 seconds (22% of recent traffic).
[2026-04-11 10:00:26] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 10:00:26] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 35 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 10:00:26] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 40/59 packets in the last 20 seconds (68% of recent traffic).
[2026-04-11 10:00:26] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 20 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 10:00:26] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 10:00:26] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 10:00:28] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-11 10:00:28] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 40/159 packets in the last 20 seconds (25% of recent traffic).
[2026-04-11 10:00:31] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 40/181 packets in the last 20 seconds (22% of recent traffic).
[2026-04-11 10:00:31] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 41/182 packets in the last 20 seconds (23% of recent traffic).
[2026-04-11 10:00:31] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 42/183 packets in the last 20 seconds (23% of recent traffic).
[2026-04-11 10:00:31] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 43/184 packets in the last 20 seconds (23% of recent traffic).
[2026-04-11 10:00:31] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 44/185 packets in the last 20 seconds (24% of recent traffic).
[2026-04-11 10:00:31] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 45/186 packets in the last 20 seconds (24% of recent traffic).
[2026-04-11 10:00:31] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 46/187 packets in the last 20 seconds (25% of recent traffic).
[2026-04-11 10:00:31] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 47/188 packets in the last 20 seconds (25% of recent traffic).
[2026-04-11 10:00:31] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 48/189 packets in the last 20 seconds (25% of recent traffic).
[2026-04-11 10:00:33] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 49/259 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 10:00:33] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 50/260 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 10:00:33] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 51/261 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 10:00:33] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 52/262 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 10:00:33] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 53/263 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 10:00:33] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 54/264 packets in the last 20 seconds (20% of recent traffic).
[2026-04-11 10:00:33] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 55/265 packets in the last 20 seconds (21% of recent traffic).
[2026-04-11 10:00:34] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 10:00:34] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 141 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 10:00:34] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 143/297 packets in the last 20 seconds (48% of recent traffic).
[2026-04-11 10:00:34] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 10:00:34] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 10:00:34] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 10:00:36] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-11 10:00:37] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 101/400 packets in the last 20 seconds (25% of recent traffic).
